# Rime user dictionary
#@/db_name	wubi86.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	15721
#@/user_id	0bb3099a-66e4-4762-83f5-648368fe1502
a 	工	c=96 d=2.23035 t=15721
aa 	式	c=24 d=0.205373 t=15721
aaad 	工期	c=1 d=0.1764 t=15721
aad 	式	c=194 d=0.810983 t=15721
aadn 	葚	c=1 d=4.90192e-025 t=15721
aadw 	萁	c=1 d=8.57582e-017 t=15721
aak 	戒	c=1 d=5.38769e-019 t=15721
aawt 	工作	c=25 d=5.36063 t=15721
ab 	节	c=3 d=2.88972e-008 t=15721
abce 	节能	c=2 d=0.782705 t=15721
abh 	邛	c=1 d=2.25565e-011 t=15721
abio 	蒸	c=7 d=2.25187e-016 t=15721
abit 	节省	c=5 d=0.00538036 t=15721
abj 	节	c=14 d=0.000185571 t=15721
abut 	萨	c=2 d=1.02309 t=15721
ad 	基	c=6 d=1.46378e-012 t=15721
addb 	基础	c=5 d=2.63654 t=15721
adf 	苦	c=1 d=1.18712e-018 t=15721
adgc 	甚至	c=2 d=1.95191e-015 t=15721
adgf 	基于	c=2 d=3.07851e-012 t=15721
adh 	荐	c=1 d=7.40038e-018 t=15721
adhh 	项目	c=21 d=0.517583 t=15721
adj 	菲	c=1 d=5.9216e-013 t=15721
adk 	若	c=7 d=0.00320075 t=15721
adkh 	其中	c=1 d=0.00183303 t=15721
adkn 	惹	c=1 d=2.14046e-012 t=15721
adm 	项	c=41 d=1.00975 t=15721
adnt 	藏	c=1 d=4.55407e-012 t=15721
adov 	基数	c=1 d=1.29468e-009 t=15721
adpu 	其实	c=5 d=0.000207041 t=15721
adsf 	东奔西走	c=1 d=5.5969e-026 t=15721
adsg 	基本	c=18 d=2.32149e-005 t=15721
adw 	其	c=55 d=1.05327 t=15721
adwb 	其他	c=37 d=2.00097 t=15721
adwe 	期	c=14 d=0.0652199 t=15721
adwf 	基	c=6 d=0.00069264 t=15721
adwf 	斟	c=3 d=2.04703e-012 t=15721
adyy 	斯文	c=1 d=4.50876e-012 t=15721
aes 	菜	c=10 d=9.91085e-005 t=15721
aet 	散	c=2 d=8.4394e-019 t=15721
af 	革	c=1 d=1.04258e-020 t=15721
afs 	某	c=18 d=1.03082 t=15721
afsd 	东走西顾	c=1 d=2.28103e-025 t=15721
aft 	著	c=1 d=0.0930145 t=15721
afwt 	著作	c=1 d=0.522046 t=15721
ag 	七	c=4 d=0.000100034 t=15721
agh 	廿	c=1 d=4.4724e-005 t=15721
agjs 	苹果	c=1 d=2.61935e-005 t=15721
agk 	蔌	c=1 d=1.15702e-010 t=15721
agn 	七	c=3 d=4.53999e-005 t=15721
agnn 	巧	c=1 d=1.1042e-019 t=15721
ah 	牙	c=1 d=0.0488012 t=15721
ahn 	臣	c=2 d=1.0297e-019 t=15721
ahnh 	卧	c=2 d=1.02639e-019 t=15721
aht 	牙	c=2 d=3.24327e-008 t=15721
ahty 	雅	c=1 d=1.14236e-007 t=15721
ai 	东	c=3 d=3.69288e-018 t=15721
aib 	范	c=1 d=1.88536e-019 t=15721
aibb 	范	c=2 d=3.15001e-018 t=15721
aifb 	落地	c=1 d=5.14799e-013 t=15721
aii 	东	c=2 d=0.168638 t=15721
ailf 	范围	c=43 d=1.58745e-005 t=15721
aiq 	鸫	c=2 d=0.0029528 t=15721
aisg 	东西	c=9 d=0.470011 t=15721
aisk 	菏	c=1 d=6.33564e-014 t=15721
aitk 	落	c=1 d=6.93348e-016 t=15721
aj 	划	c=2 d=2.79548e-008 t=15721
ajd 	莫	c=3 d=9.91884e-013 t=15721
ajdh 	幕	c=5 d=2.03845e-017 t=15721
ajdl 	募	c=1 d=6.81726e-023 t=15721
ajfy 	暮霭	c=1 d=1 t=15721
ajh 	划	c=3 d=0.0671791 t=15721
ajqk 	莫名	c=1 d=2.07078e-005 t=15721
ajtl 	蓝	c=1 d=2.45067e-016 t=15721
ak 	或	c=2 d=1.625e-006 t=15721
akft 	或者	c=39 d=0.197118 t=15721
akg 	或	c=30 d=0.406602 t=15721
akgd 	或	c=2 d=3.15695e-023 t=15721
al 	功	c=6 d=6.9654e-006 t=15721
alce 	功能	c=17 d=3.86463 t=15721
alk 	匣	c=1 d=1.2111e-018 t=15721
aln 	功	c=55 d=1.04049 t=15721
alnc 	功怪	c=1 d=2.15602e-009 t=15721
alw 	苏	c=1 d=4.17217e-011 t=15721
amd 	英	c=20 d=0.0739031 t=15721
amin 	黄汤	c=1 d=2.09951e-020 t=15721
amw 	黄	c=2 d=7.58696e-014 t=15721
amyy 	英文	c=6 d=0.0148547 t=15721
an 	世	c=2 d=1.2719e-006 t=15721
and 	巨	c=2 d=9.3062e-008 t=15721
andt 	世故	c=1 d=4.53136e-012 t=15721
anlw 	世界	c=2 d=0.304221 t=15721
anu 	芯	c=2 d=9.79654e-008 t=15721
anxn 	世纪	c=1 d=4.15136e-011 t=15721
ap 	芝	c=1 d=4.73992e-012 t=15721
apge 	蒙	c=1 d=4.62289e-012 t=15721
aq 	区	c=10 d=0.000119959 t=15721
aqfa 	区域	c=5 d=0.00384878 t=15721
aqhh 	敬上	c=1 d=2.58123e-009 t=15721
aqi 	区	c=154 d=2.35323 t=15721
aqkl 	区别	c=5 d=0.942791 t=15721
aqkr 	擎	c=4 d=0.038398 t=15721
aqkt 	敬	c=1 d=0.0385808 t=15721
aqky 	警	c=2 d=0.0387742 t=15721
aqn 	苞	c=1 d=9.60431e-026 t=15721
aqqw 	欧	c=6 d=1.08938 t=15721
aqsg 	匹配	c=9 d=6.75337e-005 t=15721
aqt 	获	c=13 d=1.04345e-005 t=15721
aqtf 	警告	c=1 d=0.000982903 t=15721
aquj 	区间	c=1 d=1.01353e-011 t=15721
aqv 	匹	c=4 d=7.08151e-005 t=15721
aqwv 	区分	c=2 d=3.02271e-008 t=15721
art 	萆	c=1 d=1.78908e-020 t=15721
as 	苛	c=4 d=2.26772e-015 t=15721
asdf 	苛夺	c=8 d=0.0327124 t=15721
asns 	苍松翠柏	c=1 d=2.91429e-025 t=15721
at 	攻	c=1 d=1.67592e-016 t=15721
atd 	医	c=1 d=2.5454e-021 t=15721
au 	燕	c=3 d=9.54666e-014 t=15721
auj 	莘	c=1 d=6.79272e-010 t=15721
aum 	蔽	c=2 d=0.00477195 t=15721
aumi 	燕峭	c=1 d=0.00474815 t=15721
auq 	蒋	c=9 d=4.95483e-013 t=15721
av 	切	c=8 d=0.0647127 t=15721
avn 	切	c=73 d=1.01754 t=15721
avnn 	切忌	c=1 d=1.29266e-020 t=15721
avrq 	切换	c=13 d=1.02052 t=15721
avvh 	鹊巢鸠占	c=1 d=0.00179097 t=15721
away 	荟萃	c=1 d=3.92106e-016 t=15721
awb 	苍	c=1 d=0.0328764 t=15721
awks 	葆	c=1 d=7.38253e-019 t=15721
awsk 	荷	c=1 d=7.41954e-019 t=15721
awu 	共	c=16 d=0.804357 t=15721
awv 	芬	c=1 d=0.194952 t=15721
awx 	花	c=10 d=0.873716 t=15721
aya 	蔗	c=1 d=1.57778e-012 t=15721
b 	了	c=332 d=4.06613 t=15721
ba 	陈	c=1 d=1.72338e-021 t=15721
bai 	陈	c=6 d=0.0149956 t=15721
bb 	子	c=3 d=1.27645e-011 t=15721
bbb 	子	c=25 d=0.000160239 t=15721
bbbb 	子	c=2 d=4.80798e-025 t=15721
bbdw 	子孙万代	c=1 d=1.4306e-007 t=15721
bc 	取	c=40 d=3.50832e-006 t=15721
bde 	随	c=11 d=8.02457e-005 t=15721
bf 	际	c=1 d=0.477114 t=15721
bfi 	际	c=6 d=0.0845185 t=15721
bfq 	阮	c=1 d=6.34772e-007 t=15721
bg 	卫	c=2 d=7.47425e-009 t=15721
bgd 	卫	c=1 d=1.18732e-020 t=15721
bgh 	耳	c=1 d=1.19226e-010 t=15721
bgkh 	隔	c=8 d=0.120032 t=15721
bhdf 	耻辱	c=1 d=4.71388e-006 t=15721
bhg 	耻	c=1 d=9.43369e-021 t=15721
bi 	孙	c=5 d=2.42718e-012 t=15721
biaa 	出水芙蓉	c=2 d=0.0146253 t=15721
bib 	函	c=59 d=0.102285 t=15721
biov 	函数	c=3 d=0.041119 t=15721
biy 	孙	c=4 d=1.53883e-012 t=15721
bj 	阳	c=1 d=1.46303e-006 t=15721
bjg 	阳	c=1 d=9.62426e-021 t=15721
bk 	职	c=1 d=3.53695e-009 t=15721
bkgf 	聖	c=1 d=6.74368e-013 t=15721
bkw 	职	c=3 d=4.39788e-005 t=15721
bm 	出	c=41 d=0.00673203 t=15721
bmfc 	出去	c=1 d=5.43628e-007 t=15721
bmg 	聘	c=1 d=2.08116e-005 t=15721
bmgm 	出现	c=10 d=0.00783417 t=15721
bmgo 	出来	c=4 d=0.00541301 t=15721
bmk 	出	c=79 d=1.75827 t=15721
bmnn 	出局	c=1 d=3.37661e-022 t=15721
bmqa 	出错	c=3 d=0.26054 t=15721
bmqc 	出色	c=1 d=2.16124e-008 t=15721
bn 	也	c=132 d=2.84313 t=15721
bnn 	孔	c=1 d=2.06825e-020 t=15721
bnyt 	也许	c=1 d=0.346009 t=15721
bo 	耿	c=1 d=2.64793e-015 t=15721
bpfq 	院	c=4 d=3.50528e-006 t=15721
bpyk 	耽误	c=1 d=2.40877e-019 t=15721
bq 	隐	c=1 d=5.66007e-011 t=15721
bqaa 	隐匿	c=2 d=2.15259e-012 t=15721
bqad 	隐藏	c=9 d=0.00506214 t=15721
bqt 	聊	c=2 d=2.31873e-012 t=15721
bqtb 	聊	c=2 d=0.00130051 t=15721
bqtc 	隐私	c=1 d=2.61979e-007 t=15721
bqv 	陷	c=1 d=2.32031e-020 t=15721
bqvn 	隐	c=1 d=1.24561e-025 t=15721
bt 	降	c=3 d=2.18296e-008 t=15721
bta 	降	c=3 d=0.168638 t=15721
btah 	降	c=3 d=6.8335e-008 t=15721
btg 	隆	c=1 d=0.000105163 t=15721
bu 	联	c=2 d=1.6994e-025 t=15721
bud 	联	c=11 d=1.37119e-008 t=15721
buje 	联盟	c=2 d=3.17166e-013 t=15721
buje 	聪明	c=1 d=1.59777e-013 t=15721
butx 	联系	c=1 d=2.47614e-020 t=15721
bv 	限	c=11 d=3.22158e-005 t=15721
bvrm 	限制	c=3 d=2.5126e-006 t=15721
bw 	队	c=9 d=4.7667e-005 t=15721
bwdj 	除非	c=1 d=0.449329 t=15721
bwf 	附	c=3 d=0.45612 t=15721
